algorithm,sample_count,deadline_miss_ratio,hard_fault_miss_ratio,source_fault_miss_ratio,contact_miss_ratio,compute_queue_miss_ratio,policy_miss_ratio,isl_traffic_bits_per_delivered_tile,energy_j_per_delivered_tile,n_replicas_avg,deadline_miss_ratio_std,hard_fault_miss_ratio_std,source_fault_miss_ratio_std,contact_miss_ratio_std,compute_queue_miss_ratio_std,policy_miss_ratio_std,isl_traffic_bits_per_delivered_tile_std,energy_j_per_delivered_tile_std,n_replicas_avg_std
ORDI@0plane,8,0.04403170259069615,0.0,0.0,0.0,0.004341828417692744,0.0396898741730034,140099315.89643887,1849.0421338285123,1.03294811491939,0.017436834045221217,0.0,0.0,0.0,0.00543275811030492,0.014323337841613078,21415427.22709638,368.7834709929025,0.025184461744970868
ORDI@1plane,40,0.0639892671165566,5.702554744525547e-05,0.012234579597491971,2.3242230701172306e-05,0.005216414912714221,0.04645800482820399,139735810.54527444,1882.7195941601603,1.0102691002183115,0.029783444735649072,0.0003606612294900067,0.021254244531150147,0.00010261982191660692,0.006077849215293973,0.0172176335395939,21143891.695598204,348.6241677415108,0.034934626784770786
ORDI@2planes,40,0.07072836287052453,0.00014375035364680585,0.019403656648050913,0.00012093914256793149,0.004847706519229092,0.046212310207029775,140388654.79073963,1895.2554319756673,1.0035165740755148,0.03271095735203053,0.0005445638176477068,0.027473424502345693,0.0005514945016986896,0.005562857591153598,0.016863913231875898,20938239.59135214,352.10317531881515,0.03701387125934602
full_replication@0plane,8,0.18813902891798165,0.0,0.0,0.0,0.030788291581253967,0.1573507373367277,69546017.03553449,2310.6995183582153,1.5686289302614662,0.03486392155481179,0.0,0.0,0.0,0.014041658004597255,0.033814622084075444,8123687.173978867,401.9102783012425,0.07802366267208313
full_replication@1plane,40,0.20124127844699863,0.0009028206777999896,0.015108995666275923,8.285984848484849e-05,0.029863771098321897,0.155282831156116,70186372.58597419,2342.207279420166,1.5411242184570109,0.03910495321386749,0.0028089584792357005,0.024629275824980527,0.0005240516955771463,0.013655366099291124,0.034716021211610215,7630383.255967219,378.8271717686195,0.08421728888288436
full_replication@2planes,40,0.2106320506759737,0.001809096625222389,0.023803724082468142,4.770992366412214e-05,0.02927585280671625,0.15569566723790282,71109680.8922464,2368.205880691311,1.5227699797006706,0.03967779324434885,0.004388193946180283,0.029537037553111593,0.00030174405154278426,0.014231187616223712,0.03378311495928554,7562167.982646165,389.2023234754185,0.08575070190651589
random_replication@0plane,8,0.11005559869626337,0.0,0.0,0.0,0.014451779695856804,0.09560381900040657,174617814.25440726,2156.4148890238985,1.7148678345419086,0.03366330612898638,0.0,0.0,0.0,0.007386917561250115,0.033427726532414465,17130263.82006094,381.0516311513171,0.049977418046290745
random_replication@1plane,40,0.12304548637667342,0.00012892018918001348,0.013283604922999962,0.0,0.01412759631255131,0.09550536495194215,172434213.9319629,2178.5366894069493,1.6750769013416456,0.0389268674714892,0.00036974483630854496,0.022822363385171386,0.0,0.007392244561170124,0.032556577984853674,15268761.722313154,359.49201506213865,0.06333565607810426
random_replication@2planes,40,0.1339217715814532,0.000756595393454055,0.02076999793576113,0.0002990183321767291,0.01416799167247516,0.09792816824758609,173715816.11790708,2204.04781672204,1.6570141814684274,0.04138599859596436,0.0021748415678990393,0.02841312551868674,0.0012661144319868402,0.007530045749286298,0.03161793721976612,15681176.956689892,367.09643126625315,0.07020053842638693
